algorithm,zipf,normalized_throughput,normalized_latency
EIGER_PORT_PLUS,0,1.424064299,0.811661989
EIGER_PORT_PLUS,0.7,1.304064471,0.618601183
EIGER_PORT_PLUS,0.8,2.50362622,0.704012112
EIGER_PORT_PLUS,0.9,1.806213592,0.839000464
EIGER_PORT_PLUS,0.99,2.329287324,0.953248811
EIGER_PORT_PLUS,1.1,2.573242417,0.787175989
EIGER_PORT_PLUS,1.2,2.375633232,0.808275209
