algorithm,zipf,normalized_throughput,normalized_latency
EIGER_PORT,0,1.416446737,0.812784534
EIGER_PORT,0.7,1.250946041,0.628029617
EIGER_PORT,0.8,2.114225941,0.68537821
EIGER_PORT,0.9,1.331779935,0.809902565
EIGER_PORT,0.99,1.641928212,0.85003962
EIGER_PORT,1.1,2.465553727,0.831934096
EIGER_PORT,1.2,2.016970618,0.763239473
