algorithm, num_servers,throughput,latency
EIGER_PORT,2,10457,1.898
EIGER_PORT,4,12721,3.23
EIGER_PORT,8,14672,4.981
EIGER_PORT,16,15159,11.77
EIGER_PORT,32,25153,12.891
