algorithm,num_clients,throughput,latency
EIGER_PORT,2,10457,1.898
EIGER_PORT,4,12721,3.23
EIGER_PORT,8,14672,4.981
EIGER_PORT,16,14203,6.664
EIGER_PORT,32,15159,11.77
EIGER_PORT,64,14401,20.071
EIGER_PORT,128,15585,37.015
EIGER_PORT,256,17929,72.625
EIGER_PORT,512,23490,122.762
