algorithm,num_clients,throughput,latency
EIGER_PORT_PLUS,2,10263,2.008
EIGER_PORT_PLUS,4,12569,3.342
EIGER_PORT_PLUS,8,14312,5.022
EIGER_PORT_PLUS,16,15562,7.776
EIGER_PORT_PLUS,32,17951,12.09
EIGER_PORT_PLUS,64,17786,19.286
EIGER_PORT_PLUS,128,19727,38.051
EIGER_PORT_PLUS,256,20303,72.728
EIGER_PORT_PLUS,512,25708,129.745
