algorithm,zipf,throughput,latency
EIGER_PORT_PLUS,0,23742,13.015
EIGER_PORT_PLUS,0.7,18609,11.613
EIGER_PORT_PLUS,0.8,17951,12.09
EIGER_PORT_PLUS,0.9,13953,12.658
EIGER_PORT_PLUS,0.99,13433,14.436
EIGER_PORT_PLUS,1.1,10944,15.002
EIGER_PORT_PLUS,1.2,9379,18.773
