algorithm,zipf,throughput,latency
EIGER_PORT,0,23615,13.033
EIGER_PORT,0.7,17851,11.79
EIGER_PORT,0.8,15159,11.77
EIGER_PORT,0.9,10288,12.219
EIGER_PORT,0.99,9469,12.873
EIGER_PORT,1.1,10486,15.855
EIGER_PORT,1.2,7963,17.727
